splitMB,reducersCount,aggregationMs,sortingMs,totalMs,timestamp
1,1,160695,18419,179114,2025-12-08T14:27:50.125
1,2,141069,19424,160493,2025-12-08T14:30:51.350
1,4,158142,18442,176584,2025-12-08T14:34:09.211
1,8,159976,20819,180795,2025-12-08T14:37:29.671
1,16,170142,26454,196596,2025-12-08T14:41:07.208

2,1,84894,18507,103401,2025-12-08T14:43:11.058
2,2,94107,19498,113605,2025-12-08T14:45:26.429
2,4,94743,18494,113237,2025-12-08T14:47:40.043
2,8,94850,22470,117320,2025-12-08T14:49:58.593
2,16,100814,29557,130371,2025-12-08T14:52:29.284

4,1,52675,20513,73188,2025-12-08T14:54:04.802
4,2,56703,19529,76232,2025-12-08T14:55:43.205
4,4,55538,19418,74956,2025-12-08T14:57:19.289
4,8,57566,21692,79258,2025-12-08T14:58:59.552
4,16,61524,27629,89153,2025-12-08T15:00:50.737

8,1,33411,18700,52111,2025-12-08T15:02:02.939
8,2,33741,19423,53164,2025-12-08T15:03:15.939
8,4,35330,19415,54745,2025-12-08T15:04:30.353
8,8,39364,21493,60857,2025-12-08T15:05:50.757
8,16,43846,28497,72343,2025-12-08T15:07:23.098

16,1,26251,18418,44669,2025-12-08T15:08:27.459
16,2,25265,18646,43911,2025-12-08T15:09:30.894
16,4,27269,19431,46700,2025-12-08T15:10:37.068
16,8,29336,23506,52842,2025-12-08T15:11:49.378
16,16,36340,26477,62817,2025-12-08T15:13:12.353

32,1,23254,19026,42280,2025-12-08T15:14:14.512
32,2,22223,18424,40647,2025-12-08T15:15:15.050
32,4,23237,20431,43668,2025-12-08T15:16:18.604
32,8,28372,21497,49869,2025-12-08T15:17:29.782
32,16,31777,26562,58339,2025-12-08T15:18:47.912

64,1,23269,19449,42718,2025-12-08T15:19:50.265
64,2,21181,19421,40602,2025-12-08T15:20:50.422
64,4,22258,19442,41700,2025-12-08T15:21:51.863
64,8,25326,21460,46786,2025-12-08T15:22:58.374
64,16,29311,26512,55823,2025-12-08T15:24:13.962

140,1,22192,19623,41815,2025-12-08T15:25:15.858
140,2,22231,19443,41674,2025-12-08T15:26:17.224
140,4,25216,19439,44655,2025-12-08T15:27:21.432
140,8,27327,21675,49002,2025-12-08T15:28:30.158
140,16,30395,28575,58970,2025-12-08T15:29:49.271
